Voltage,5V,Current_Motor,Current_Board
16.09573,5.073238,0,0.283859
15.9615,5.049233,0,0.325209
16.13234,5.109248,0,0.295692
16.10793,5.105247,0,0.293612
16.09573,5.07524,0,0.292051
15.9615,5.049233,0,0.319878
16.03472,5.081241,0,0.309215
16.16285,5.111248,0,0.310776
15.9676,5.055234,0,0.330281
16.12624,5.113249,0,0.290101
15.9615,5.051233,0,0.343284
15.91269,5.03523,0,0.343284
15.9737,5.053234,0,0.341983
16.01641,5.065237,0,0.334052
15.9737,5.055234,0,0.331061
16.01641,5.051233,0,0.321569
16.02861,5.063236,0,0.331841
15.99811,5.065237,0,0.316757
16.03472,5.073238,0,0.317538
15.9859,5.063236,0,0.323779
16.04082,5.067237,0,0.332361
16.02251,5.07724,0,0.308175
16.07132,5.07924,0,0.305445
16.04082,5.069238,0,0.317408
16.12624,5.109248,0,0.315847
16.05302,5.07924,0,0.312336
16.12014,5.095244,0,0.304404
16.10183,5.087243,0,0.288931
16.08353,5.085242,0,0.28724
16.08353,5.087243,0,0.295432
16.10793,5.093244,0,0.293092
16.08353,5.093244,0,0.293222
16.10793,5.081241,0,0.296732
16.14454,5.099245,0,0.291921
16.18115,5.113249,0,0.28763
16.06522,5.07924,0,0.32612
16.07132,5.07924,0,0.314547
15.99811,5.065237,0,0.319878
16.11403,5.097245,0,0.294262
16.02861,5.041231,0,0.311556
16.02861,5.067237,0,0.32612
16.07743,5.081241,0,0.293872
16.04082,5.083241,0,0.292962
16.06522,5.085242,0,0.319488
16.09573,5.089243,0,0.310906
16.05912,5.07524,0,0.320918
16.05302,5.07924,0,0.305705
16.05912,5.07924,0,0.310256
16.12624,5.097245,0,0.289321
16.10793,5.099245,0,0.300893
16.11403,5.105247,0,0.278138
16.10183,5.101246,0,0.277618
16.12014,5.097245,0,0.279438
16.12014,5.107247,0,0.279048
16.12014,5.101246,0,0.277748
16.12624,5.107247,0,0.293222
16.13234,5.097245,0,0.278918
16.13234,5.095244,0,0.278268
16.10793,5.103246,0,0.28776
16.19335,5.115249,0,0.259543
16.15675,5.11925,0,0.258113
16.15675,5.103246,0,0.256683
16.18725,5.109248,0,0.259543
16.17505,5.109248,0,0.258373
16.19335,5.115249,0,0.257463
16.15675,5.113249,0,0.258893
16.16895,5.113249,0,0.258503
16.19335,5.111248,0,0.257723
16.18115,5.121251,0,0.258893
16.16285,5.117249,0,0.259673
16.16895,5.117249,0,0.257073
16.19335,5.105247,0,0.257983
16.15064,5.111248,0,0.261494
16.16285,5.107247,0,0.260194
16.18725,5.117249,0,0.260324
16.15064,5.117249,0,0.262014
16.15675,5.113249,0,0.260844
16.17505,5.117249,0,0.262274
16.18725,5.111248,0,0.263184
16.18115,5.115249,0,0.262664
16.17505,5.107247,0,0.262664
16.17505,5.115249,0,0.264225
16.09573,5.093244,0,0.264615
